,Name,Speed,Team
414,S. Schimmer,30.58,1. FC Heidenheim 1846
415,Manuel Riemann,30.55,VfL Bochum 1848
416,P. Gulácsi,30.55,RB Leipzig
417,M. Bauer,30.54,FC Augsburg
418,Kasim  Adams,30.52,TSG Hoffenheim
419,F. Ronstadt,30.50,SV Darmstadt 98
420,M. Schwäbe,30.42,1. FC Köln
421,Gustavo Puerta,30.41,Bayer 04 Leverkusen
422,Klaus Gjasula,30.40,SV Darmstadt 98
423,Jonas Wind,30.40,VfL Wolfsburg
424,T. Bischof,30.40,TSG Hoffenheim
425,M. Pantović,30.37,1. FC Union Berlin
426,Giovanni Reyna,30.36,Borussia Dortmund
427,G. Haraguchi,30.35,VfB Stuttgart
428,C. Kramer,30.23,Borussia Mönchengladbach
429,F. Rüdlin,30.22,Sport-Club Freiburg
430,F. Dietz,30.09,1. FC Köln
431,Julien Duranville,30.09,Borussia Dortmund
432,L. Bonucci,30.05,1. FC Union Berlin
433,Joel Imasuen,29.93,SV Werder Bremen
434,Ilia Gruev,29.91,SV Werder Bremen
435,D. Mamutovic,29.88,1. FSV Mainz 05
436,A. Papadopoulos,29.87,Borussia Dortmund
437,D. Pejčinović,29.85,VfL Wolfsburg
438,M. Dahoud,29.80,VfB Stuttgart
439,Hendry Blank,29.79,Borussia Dortmund
440,A. Kemlein,29.73,1. FC Union Berlin
441,P. Herrmann,29.69,Borussia Mönchengladbach
442,Finn Dahmen,29.55,FC Augsburg
443,N. Mbuku,29.40,FC Augsburg
444,N. Atubolu,29.34,Sport-Club Freiburg
445,Alexander Meyer,29.32,Borussia Dortmund
446,J. Milošević,29.29,VfB Stuttgart
447,Thorgan Hazard,29.10,Borussia Dortmund
448,D. Geiger,28.87,TSG Hoffenheim
449,G. Kobel,28.77,Borussia Dortmund
450,S. Rode,28.68,Eintracht Frankfurt
451,M. Müller,28.64,1. FSV Mainz 05
452,M. Breunig,28.62,Sport-Club Freiburg
453,M. Schuhen,28.60,SV Darmstadt 98
454,A. Müller,28.60,SV Darmstadt 98
455,D. Batz,28.43,1. FSV Mainz 05
456,M. Mladenović,28.12,Eintracht Frankfurt
457,J. Omlin,27.93,Borussia Mönchengladbach
458,K. Müller,27.91,1. FC Heidenheim 1846
459,Naby Keïta,27.64,SV Werder Bremen
460,Frederik Rønnow,27.52,1. FC Union Berlin
461,Kevin Trapp,27.43,Eintracht Frankfurt
462,L. Hrádecký,27.29,Bayer 04 Leverkusen
463,J. Pavlenka,27.20,SV Werder Bremen
464,S. Ulreich,27.11,FC Bayern München
465,Janis Blaswich,27.09,RB Leipzig
466,A. Nübel,26.99,VfB Stuttgart
467,T. Jantschke,26.52,Borussia Mönchengladbach
468,Manuel Neuer,26.51,FC Bayern München
469,L. Zvonarek,26.34,FC Bayern München
470,S. Di Benedetto,25.81,VfB Stuttgart
471,K. Casteels,25.60,VfL Wolfsburg
472,Thomas Keller,25.52,1. FC Heidenheim 1846
473,Kofi Amoako,24.97,VfL Wolfsburg
474,A. Luthe,24.95,VfL Bochum 1848
475,F. Bredlow,24.73,VfB Stuttgart
476,M. Kovář,24.34,Bayer 04 Leverkusen
477,J. Grahl,23.96,Eintracht Frankfurt
478,P. Pervan,23.35,VfL Wolfsburg
479,D. Samassékou,22.14,TSG Hoffenheim
480,Alexander Brunst,21.53,SV Darmstadt 98
481,A. Schwolow,20.14,1. FC Union Berlin
